date,TA_MAX,TA_MIN,TA_MED,TA_OSC,P_RAIN
2016-09-01,38.0,16.0,27.0,22.0,0.0
2016-09-02,38.0,17.0,27.5,21.0,0.0
2016-09-03,41.0,18.0,29.5,23.0,0.0
2016-09-04,42.0,19.0,30.5,23.0,0.0
2016-09-05,46.0,19.0,32.5,27.0,0.0
2016-09-06,38.0,18.0,28.0,20.0,0.0
2016-09-07,34.0,17.0,25.5,17.0,0.0
2016-09-08,33.0,14.0,23.5,19.0,0.0
2016-09-09,29.0,14.5,21.75,14.5,0.0
2016-09-10,30.0,13.0,21.5,17.0,0.0
2016-09-11,31.0,14.0,22.5,17.0,0.0
2016-09-12,34.0,14.0,24.0,20.0,0.0
2016-09-13,26.0,16.0,21.0,10.0,0.0
2016-09-14,25.0,10.0,17.5,15.0,7.0
2016-09-15,26.0,10.0,18.0,16.0,0.0
2016-09-16,30.0,11.0,20.5,19.0,0.0
2016-09-17,34.0,11.5,22.75,22.5,0.0
2016-09-18,33.0,11.0,22.0,22.0,0.0
2016-09-19,28.0,12.0,20.0,16.0,0.0
2016-09-20,30.0,12.0,21.0,18.0,0.0
2016-09-21,29.0,15.0,22.0,14.0,0.0
2016-09-22,27.0,13.0,20.0,14.0,0.0
2016-09-23,29.0,11.0,20.0,18.0,0.0
2016-09-24,31.0,11.0,21.0,20.0,0.0
2016-09-25,30.0,11.0,20.5,19.0,0.0
2016-09-26,30.0,11.0,20.5,19.0,0.0
2016-09-27,34.0,11.5,22.75,22.5,0.0
2016-09-28,34.0,14.0,24.0,20.0,0.0
2016-09-29,32.0,14.5,23.25,17.5,0.0
2016-09-30,34.0,15.0,24.5,19.0,0.0
2016-10-01,28.0,13.0,20.5,15.0,0.0
2016-10-02,29.0,12.0,20.5,17.0,0.0
2016-10-03,33.0,9.5,21.25,23.5,0.0
2016-10-04,32.0,10.0,21.0,22.0,0.0
2016-10-05,34.0,12.0,23.0,22.0,0.0
2016-10-06,30.0,12.5,21.25,17.5,0.0
2016-10-07,30.0,11.0,20.5,19.0,0.0
2016-10-08,30.0,11.5,20.75,18.5,0.0
2016-10-09,25.0,11.5,18.25,13.5,0.0
2016-10-10,25.0,8.0,16.5,17.0,0.0
2016-10-11,24.0,8.0,16.0,16.0,0.0
2016-10-12,22.0,8.0,15.0,14.0,13.7
2016-10-13,22.0,12.0,17.0,10.0,8.6
2016-10-14,22.0,12.0,17.0,10.0,0.0
2016-10-15,26.0,8.0,17.0,18.0,0.0
2016-10-16,28.0,8.0,18.0,20.0,0.0
2016-10-17,26.0,11.0,18.5,15.0,0.0
2016-10-18,30.0,13.0,21.5,17.0,0.0
2016-10-19,30.0,14.0,22.0,16.0,0.0
2016-10-20,28.0,14.0,21.0,14.0,0.0
2016-10-21,26.0,12.0,19.0,14.0,0.0
2016-10-22,22.0,11.5,16.75,10.5,20.5
2016-10-23,20.0,16.0,18.0,4.0,18.2
2016-10-24,22.0,14.0,18.0,8.0,25.4
2016-10-25,25.0,15.0,20.0,10.0,2.6
2016-10-26,30.0,15.0,22.5,15.0,0.5
2016-10-27,30.0,16.0,23.0,14.0,0.0
2016-10-28,30.0,14.0,22.0,16.0,0.0
2016-10-29,30.0,14.0,22.0,16.0,0.0
2016-10-30,29.0,13.0,21.0,16.0,0.0
2016-10-31,25.5,10.0,17.75,15.5,0.0
2016-11-01,28.0,10.5,19.25,17.5,0.0
2016-11-02,26.0,11.0,18.5,15.0,0.0
2016-11-03,29.0,12.0,20.5,17.0,0.0
2016-11-04,21.0,13.0,17.0,8.0,0.9
2016-11-05,24.0,16.0,20.0,8.0,1.3
2016-11-06,17.0,8.0,12.5,9.0,2.5
2016-11-07,17.5,5.0,11.25,12.5,0.0
2016-11-08,17.0,4.5,10.75,12.5,0.0
2016-11-09,21.5,4.5,13.0,17.0,0.0
2016-11-10,18.0,5.0,11.5,13.0,0.0
2016-11-11,19.0,4.5,11.75,14.5,0.0
2016-11-12,20.0,4.5,12.25,15.5,0.0
2016-11-13,20.5,6.5,13.5,14.0,0.0
2016-11-14,22.0,6.0,14.0,16.0,0.0
2016-11-15,20.5,6.5,13.5,14.0,0.0
2016-11-16,21.0,5.5,13.25,15.5,0.0
2016-11-17,21.5,2.5,12.0,19.0,0.0
2016-11-18,21.5,3.0,12.25,18.5,0.0
2016-11-19,20.0,4.5,12.25,15.5,0.0
2016-11-20,21.0,6.5,13.75,14.5,0.0
2016-11-21,18.0,11.5,14.75,6.5,7.8
2016-11-22,17.5,10.5,14.0,7.0,37.0
2016-11-23,16.0,5.0,10.5,11.0,0.0
2016-11-24,11.5,3.0,7.25,8.5,0.0
2016-11-25,17.5,3.0,10.25,14.5,8.9
2016-11-26,18.0,11.0,14.5,7.0,42.7
2016-11-27,15.0,11.0,13.0,4.0,18.8
2016-11-28,17.5,6.0,11.75,11.5,5.9
2016-11-29,18.0,6.5,12.25,11.5,0.0
2016-11-30,17.0,6.5,11.75,10.5,0.0
2016-12-01,17.5,9.0,13.25,8.5,5.0
2016-12-02,14.0,11.0,12.5,3.0,25.0
2016-12-03,20.0,13.5,16.75,6.5,30.0
2016-12-04,20.5,13.5,17.0,7.0,30.0
2016-12-05,20.0,12.0,16.0,8.0,0.0
2016-12-06,19.0,11.0,15.0,8.0,0.0
2016-12-07,13.0,10.0,11.5,3.0,0.0
2016-12-08,18.0,10.5,14.25,7.5,0.0
2016-12-09,18.0,10.0,14.0,8.0,0.0
2016-12-10,17.5,9.5,13.5,8.0,0.0
2016-12-11,18.0,9.0,13.5,9.0,0.0
2016-12-12,17.5,7.5,12.5,10.0,0.0
2016-12-13,17.0,6.5,11.75,10.5,0.0
2016-12-14,16.5,9.0,12.75,7.5,0.0
2016-12-15,14.0,6.0,10.0,8.0,7.5
2016-12-16,13.0,8.0,10.5,5.0,9.1
2016-12-17,12.0,6.0,9.0,6.0,0.0
2016-12-18,14.0,10.0,12.0,4.0,0.0
2016-12-19,17.0,7.0,12.0,10.0,0.0
2016-12-20,14.0,2.0,8.0,12.0,0.0
2016-12-21,14.0,2.5,8.25,11.5,0.0
2016-12-22,16.0,4.0,10.0,12.0,0.0
2016-12-23,17.0,6.0,11.5,11.0,0.0
2016-12-24,16.5,6.5,11.5,10.0,0.0
2016-12-25,18.0,8.0,13.0,10.0,0.0
2016-12-26,18.0,5.0,11.5,13.0,0.0
2016-12-27,15.0,4.0,9.5,11.0,0.0
2016-12-28,18.0,4.5,11.25,13.5,0.0
2016-12-29,18.0,7.0,12.5,11.0,0.0
2016-12-30,17.0,6.0,11.5,11.0,0.0
