yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2021,1,1,0,0,3.95,0.2,,3.2029985033202726,154.43,0.5750513,0.302429,95.2079
2021,1,1,0,30,3.95,0.2,,3.2029985033202726,51.3952,0.515198,0.24809,100.941
2021,1,1,1,0,3.95,0.2,,3.2029985033202726,53.4772,0.48416525,0.249215,101.596
2021,1,1,1,30,3.95,0.2,,3.2029985033202726,39.4699,0.4022785,0.220033,97.6313
2021,1,1,2,0,3.95,0.2,,3.2029985033202726,39.0414,0.49344605,0.212267,106.948
2021,1,1,2,30,3.95,0.2,,3.2029985033202726,14.7446,0.3546181,0.157163,103.097
2021,1,1,3,0,3.95,0.2,,3.2029985033202726,11.9414,0.474407,0.144908,98.0464
2021,1,1,4,30,3.95,0.2,,3.2029985033202726,28.4187,0.3980314,0.203049,115.987
2021,1,1,5,0,3.95,0.2,,3.2029985033202726,22.5437,0.40149346,0.191652,99.6994
2021,1,1,5,30,3.95,0.2,,3.2029985033202726,47.2265,0.7005091,0.276007,115.309
2021,1,1,6,30,3.95,0.2,,3.2029985033202726,30.368,0.44718677,0.22592,100.341
2021,1,1,7,0,3.95,0.2,,3.2029985033202726,31.2431,0.6031617,0.232401,113.147
2021,1,1,7,30,3.95,0.2,,3.2029985033202726,28.1255,0.40755,0.230131,112.11
2021,1,1,8,0,3.95,0.2,,3.2029985033202726,27.9435,0.34218416,0.199456,108.422
2021,1,1,8,30,3.95,0.2,,3.2029985033202726,36.8522,0.3436306,0.167643,90.6745
2021,1,1,9,0,3.95,0.2,,3.2029985033202726,-614.722,0.56546354,0.270959,92.6347
2021,1,1,9,30,3.95,0.2,,3.2029985033202726,-141.328,0.808472,0.294086,110.857
2021,1,1,10,0,3.95,0.2,,3.2029985033202726,-136.543,1.0211562,0.361032,121.93
2021,1,1,10,30,3.95,0.2,,3.2029985033202726,-100.707,1.1622435,0.408594,129.221
2021,1,1,11,0,3.95,0.2,,3.2029985033202726,-105.451,1.035973,0.418615,128.372
2021,1,1,11,30,3.95,0.2,,3.2029985033202726,-83.8567,1.0892245,0.422195,136.127
2021,1,1,12,0,3.95,0.2,,3.2029985033202726,-58.6818,1.4379847,0.368502,147.696
2021,1,1,12,30,3.95,0.2,,3.2029985033202726,-69.5312,1.2293453,0.394879,143.419
2021,1,1,13,0,3.95,0.2,,3.2029985033202726,-83.7573,1.0875063,0.439019,149.936
2021,1,1,13,30,3.95,0.2,,3.2029985033202726,-86.3417,1.2933214,0.439766,144.251
2021,1,1,14,0,3.95,0.2,,3.2029985033202726,-86.8667,1.1112605,0.374981,127.717
2021,1,1,14,30,3.95,0.2,,3.2029985033202726,-64.8955,1.5761852,0.3825,135.405
2021,1,1,15,0,3.95,0.2,,3.2029985033202726,-235.221,1.0550829,0.434851,140.087
2021,1,1,15,30,3.95,0.2,,3.2029985033202726,-2263.41,1.1450415,0.459748,131.469
2021,1,1,16,0,3.95,0.2,,3.2029985033202726,205.708,0.8356764,0.312271,116.065
2021,1,1,16,30,3.95,0.2,,3.2029985033202726,78.4753,0.5806608,0.268763,101.963
2021,1,1,17,0,3.95,0.2,,3.2029985033202726,31.5127,0.3609432,0.181714,97.7711
2021,1,1,19,30,3.95,0.2,,3.2029985033202726,18.6532,0.49994698,0.186357,115.457
2021,1,1,20,0,3.95,0.2,,3.2029985033202726,34.1237,0.43608716,0.243487,130.315
2021,1,1,20,30,3.95,0.2,,3.2029985033202726,36.5387,0.40662882,0.244491,129.906
2021,1,1,21,0,3.95,0.2,,3.2029985033202726,44.0988,0.38116926,0.247642,128.997
2021,1,1,21,30,3.95,0.2,,3.2029985033202726,26.6947,0.4580644,0.199549,114.829
2021,1,1,22,0,3.95,0.2,,3.2029985033202726,33.1189,0.40601602,0.21818,116.649
2021,1,1,22,30,3.95,0.2,,3.2029985033202726,25.6099,0.38025385,0.201288,113.44
2021,1,1,23,0,3.95,0.2,,3.2029985033202726,19.313,0.32695872,0.183783,116.729
2021,1,1,23,30,3.95,0.2,,3.2029985033202726,24.8131,0.37526658,0.203936,110.378
2021,1,2,0,0,3.95,0.2,,3.2029985033202726,44.3047,0.41388768,0.257303,116.336
2021,1,2,0,30,3.95,0.2,,3.2029985033202726,40.5525,0.3800408,0.241509,120.686
2021,1,2,1,0,3.95,0.2,,3.2029985033202726,59.0838,0.4407505,0.281554,122.258
2021,1,2,1,30,3.95,0.2,,3.2029985033202726,40.7308,0.39180097,0.253279,125.12
2021,1,2,2,0,3.95,0.2,,3.2029985033202726,72.5777,0.49189633,0.302003,124.479
2021,1,2,2,30,3.95,0.2,,3.2029985033202726,59.1932,0.46210712,0.281562,119.159
2021,1,2,3,0,3.95,0.2,,3.2029985033202726,44.265,0.41831088,0.248527,112.72
2021,1,2,3,30,3.95,0.2,,3.2029985033202726,40.6549,0.4331801,0.240907,114.763
2021,1,2,4,0,3.95,0.2,,3.2029985033202726,47.0342,0.42250916,0.244701,116.165
2021,1,2,4,30,3.95,0.2,,3.2029985033202726,39.9178,0.38941753,0.230057,118.046
2021,1,2,5,0,3.95,0.2,,3.2029985033202726,54.7847,0.43443412,0.255911,125.699
2021,1,2,5,30,3.95,0.2,,3.2029985033202726,55.7501,0.4899194,0.241718,131.98
2021,1,2,6,0,3.95,0.2,,3.2029985033202726,50.2613,0.3457904,0.221847,136.697
2021,1,2,7,0,3.95,0.2,,3.2029985033202726,17.2414,0.33279273,0.149363,156.986
2021,1,2,9,0,3.95,0.2,,3.2029985033202726,-25.4495,0.46740666,0.155205,138.951
2021,1,2,9,30,3.95,0.2,,3.2029985033202726,-67.011,0.49252817,0.252463,155.852
2021,1,2,10,0,3.95,0.2,,3.2029985033202726,-65.6313,0.62639046,0.301622,158.044
2021,1,2,10,30,3.95,0.2,,3.2029985033202726,-21.1071,0.9216659,0.243484,149.417
2021,1,2,11,0,3.95,0.2,,3.2029985033202726,-8.45461,0.6308265,0.179988,138.325
2021,1,2,11,30,3.95,0.2,,3.2029985033202726,-5.22892,0.77184975,0.161718,154.751
2021,1,2,12,0,3.95,0.2,,3.2029985033202726,-16.6951,0.6619305,0.234977,165.887
2021,1,2,12,30,3.95,0.2,,3.2029985033202726,-24.3505,0.5982332,0.276392,151.829
2021,1,2,13,0,3.95,0.2,,3.2029985033202726,-3.27138,0.9983506,0.150411,148.203
2021,1,2,14,0,3.95,0.2,,3.2029985033202726,-77.6558,1.2606229,0.39754,140.189
2021,1,2,14,30,3.95,0.2,,3.2029985033202726,-19.4269,1.3392572,0.263536,131.419
2021,1,2,15,0,3.95,0.2,,3.2029985033202726,-48.8988,1.0704111,0.316357,122.846
2021,1,2,15,30,3.95,0.2,,3.2029985033202726,-59.5716,1.0194509,0.306497,131.603
2021,1,2,16,0,3.95,0.2,,3.2029985033202726,-157.178,0.7695343,0.363817,138.434
