yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2019,1,1,0,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,0,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,1,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,1,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,2,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,2,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,3,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,3,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,4,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,4,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,5,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,5,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,6,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,6,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,7,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,7,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,8,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,8,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,9,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,9,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,10,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,10,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,11,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,11,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,12,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,12,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,13,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,13,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,14,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,14,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,15,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,15,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,16,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,16,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,17,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,17,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,18,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,18,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,19,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,19,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,20,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,20,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,21,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,21,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,22,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,22,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,23,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,11,23,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,0,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,0,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,1,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,1,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
