date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
2019-01-20,0.3564604,0.20632163,0.1620511,0.41877133,0.16294521,-0.014163013,0.3807041,0.5071122
2019-01-21,0.3664294,0.2054941,0.16225758,0.4408807,0.1688267,-0.051094357,0.3616609,0.48422548
2019-01-22,0.37623766,0.2046931,0.16257095,0.46256813,0.17464483,-0.08755512,0.34283933,0.4616953
2019-01-23,0.38586715,0.20391779,0.162987,0.48378175,0.18038285,-0.12348401,0.32422915,0.43956137
2019-01-24,0.3952998,0.20316736,0.1635015,0.5044697,0.18602403,-0.15881975,0.30582017,0.41786337
2019-01-25,0.4045175,0.20244105,0.16411024,0.52458,0.19155157,-0.19350106,0.28760216,0.396641
2019-01-26,0.4135022,0.20173804,0.16480905,0.54406077,0.19694875,-0.22746666,0.26956496,0.37593392
2019-01-27,0.4222358,0.20105754,0.1655937,0.5628602,0.20219882,-0.26065525,0.2516983,0.35578188
2019-01-28,0.4307002,0.20039874,0.16645996,0.5809263,0.207285,-0.2930056,0.233992,0.3362246
2019-01-29,0.43887737,0.19976084,0.16740367,0.59820724,0.21219055,-0.32445636,0.21643585,0.31730172
2019-01-30,0.4467492,0.19914304,0.16842057,0.6146511,0.21689872,-0.35494632,0.19901964,0.29905295
2019-01-31,0.45429766,0.19854453,0.16950649,0.630206,0.22139277,-0.38441414,0.18173316,0.281518
2019-02-01,0.4615046,0.19796455,0.17065722,0.64482,0.2256559,-0.41279855,0.1645662,0.2647366
2019-02-02,0.468352,0.19740225,0.17186853,0.65844125,0.2296714,-0.4400383,0.14750856,0.2487484
2019-02-03,0.47482175,0.19685687,0.17313623,0.6710178,0.2334225,-0.46607208,0.13055001,0.23359312
2019-02-04,0.48089576,0.19632758,0.17445612,0.6824979,0.23689246,-0.49083865,0.11368037,0.21931046
2019-02-05,0.486556,0.1958136,0.17582396,0.6928295,0.2400645,-0.5142767,0.0968894,0.2059401
2019-02-06,0.49178433,0.19531412,0.17723557,0.70196074,0.24292189,-0.53632486,0.08016691,0.19352175
2019-02-07,0.49656272,0.19482836,0.17868674,0.7098398,0.24544786,-0.556922,0.063502684,0.18209513
2019-02-08,0.5008731,0.19435549,0.18017326,0.7164147,0.24762566,-0.57600677,0.046886515,0.1716999
2019-02-09,0.5046973,0.19389473,0.18169092,0.72163355,0.24943855,-0.5935179,0.030308189,0.16237578
2019-02-10,0.50801736,0.19344527,0.1832355,0.72544456,0.25086975,-0.6093941,0.013757503,0.15416247
2019-02-11,0.51081514,0.1930063,0.1848028,0.72779566,0.25190255,-0.6235741,-0.0027757557,0.14709964
2019-02-12,0.5130726,0.19257706,0.18638863,0.72863513,0.25252014,-0.6359966,-0.019301794,0.14122704
2019-02-13,0.5147716,0.19215672,0.18798877,0.727911,0.2527058,-0.6466003,-0.035830826,0.13658433
2019-02-14,0.5158941,0.19174448,0.189599,0.72557133,0.25244278,-0.655324,-0.052373055,0.13321123
2019-02-15,0.51595664,0.19161049,0.1924808,0.7184021,0.25145692,-0.66073763,-0.06778978,0.13439535
2019-02-16,0.513985,0.1916101,0.1956039,0.7099912,0.25029188,-0.66061777,-0.07968195,0.13568197
2019-02-17,0.5107408,0.1911286,0.1963211,0.7059183,0.24962991,-0.65703607,-0.08636364,0.13234566
2019-02-18,0.50748575,0.19009434,0.19476436,0.70437175,0.24926995,-0.65301234,-0.08832617,0.12773706
2019-02-19,0.5042159,0.18869886,0.19166075,0.7044161,0.249097,-0.64871746,-0.08695506,0.12239644
2019-02-20,0.50092715,0.18713371,0.18773732,0.705116,0.24899615,-0.6443221,-0.083635844,0.11686405
2019-02-21,0.49761558,0.18559045,0.18372113,0.70553577,0.24885245,-0.6399971,-0.079754055,0.11168016
2019-02-22,0.49427715,0.18426059,0.1803392,0.7047402,0.24855094,-0.63591325,-0.07669522,0.107385024
2019-02-23,0.49090794,0.1833357,0.17831863,0.7017938,0.24797668,-0.63224137,-0.07584486,0.1045189
2019-02-24,0.48750392,0.18300733,0.17838645,0.695761,0.2470147,-0.6291522,-0.07858852,0.10362205
2019-02-25,0.4840049,0.18789053,0.18496789,0.66114175,0.23860626,-0.6275572,-0.08796963,0.10592579
2019-02-26,0.48043412,0.19386695,0.19190831,0.61973226,0.22785343,-0.6261513,-0.095353074,0.108432785
2019-02-27,0.4764897,0.19585033,0.19351079,0.59856516,0.22204347,-0.6229695,-0.09629548,0.10898752
2019-02-28,0.47183955,0.19738977,0.1942332,0.5780491,0.21639314,-0.6182511,-0.097106725,0.10931767
2019-03-01,0.46655935,0.19852975,0.19416505,0.55825734,0.2109231,-0.6121486,-0.097784385,0.10944532
2019-03-02,0.4607248,0.19931474,0.19339584,0.53926295,0.20565404,-0.60481435,-0.09832602,0.10939254
2019-03-03,0.45441154,0.19978923,0.19201507,0.5211392,0.20060658,-0.59640086,-0.098729216,0.109181404
2019-03-04,0.44769529,0.19999766,0.19011223,0.5039593,0.1958014,-0.5870606,-0.09899153,0.10883399
2019-03-05,0.44065168,0.19998457,0.18777683,0.4877964,0.19125919,-0.5769459,-0.09911054,0.108372375
2019-03-06,0.43335643,0.19979437,0.18509836,0.47272375,0.18700057,-0.5662093,-0.0990838,0.10781863
2019-03-07,0.4258852,0.19947158,0.18216634,0.45881453,0.18304624,-0.5550032,-0.098908916,0.10719484
2019-03-08,0.41831362,0.19906066,0.17907025,0.44614196,0.17941684,-0.54348004,-0.09858343,0.106523074
2019-03-09,0.41071746,0.1986061,0.1758996,0.4347792,0.17613302,-0.5317923,-0.09810493,0.10582541
2019-03-10,0.4031723,0.19815236,0.17274389,0.42479947,0.17321548,-0.52009237,-0.09747097,0.105123915
2019-03-11,0.3957539,0.19774394,0.1696926,0.41627598,0.17068484,-0.50853264,-0.096679136,0.10444067
2019-03-12,0.38853785,0.19742529,0.16683525,0.4092819,0.1685618,-0.4972657,-0.09572699,0.103797756
2019-03-13,0.3815999,0.1972409,0.16426133,0.40389046,0.16686702,-0.48644385,-0.09461211,0.103217244
2019-03-14,0.3750157,0.19723524,0.16206035,0.40017486,0.16562113,-0.47621962,-0.09333206,0.10272121
2019-03-15,0.36886093,0.1974528,0.1603218,0.39820826,0.16484483,-0.46674538,-0.09188442,0.10233172
2019-03-16,0.36321124,0.19793804,0.15913518,0.39806387,0.16455875,-0.45817363,-0.09026675,0.10207087
2019-03-17,0.35814235,0.19873545,0.15858999,0.39981493,0.16478358,-0.45065677,-0.08847662,0.10196072
2019-03-18,0.35372987,0.19988951,0.15877573,0.40353462,0.16553997,-0.44434726,-0.08651162,0.10202335
2019-03-19,0.35004956,0.20144467,0.1597819,0.4092961,0.16684859,-0.4393975,-0.0843693,0.10228083
2019-03-20,0.34717706,0.20344545,0.161698,0.4171726,0.16873008,-0.43596002,-0.08204724,0.10275525
2019-03-21,0.34518802,0.20593628,0.16461353,0.42723736,0.17120513,-0.43418717,-0.07954301,0.10346867
2019-03-22,0.34602308,0.20906037,0.16851097,0.44058046,0.17474082,-0.4353463,-0.076944664,0.10447574
2019-03-23,0.35108432,0.21283215,0.173196,0.4577346,0.17961337,-0.44014364,-0.074341215,0.10582366
2019-03-24,0.35963973,0.21710296,0.178493,0.47793692,0.18555717,-0.44789004,-0.07173165,0.10752336
2019-03-25,0.37095726,0.22172412,0.18422627,0.50042444,0.19230662,-0.45789638,-0.069114976,0.109585784
2019-03-26,0.38430488,0.226547,0.19022018,0.52443415,0.19959612,-0.4694735,-0.066490196,0.11202185
2019-03-27,0.39895052,0.23142293,0.19629903,0.5492032,0.20716007,-0.4819323,-0.0638563,0.114842504
2019-03-28,0.41416216,0.23620327,0.20228718,0.5739686,0.21473283,-0.4945836,-0.061212298,0.11805867
2019-03-29,0.42920777,0.24073933,0.20800897,0.59796745,0.22204882,-0.5067383,-0.05855718,0.12168127
2019-03-30,0.4433553,0.24488248,0.21328874,0.6204368,0.22884242,-0.51770717,-0.05588994,0.12572126
2019-03-31,0.45587268,0.24848406,0.21795082,0.6406137,0.23484802,-0.52680117,-0.053209595,0.13018955
2019-04-01,0.46602792,0.2513954,0.22181953,0.6577351,0.23980004,-0.5333311,-0.05051513,0.13509709
2019-04-02,0.47308895,0.25346786,0.22471926,0.67103827,0.24343283,-0.53660786,-0.047805548,0.1404548
2019-04-03,0.4775487,0.25494263,0.22706698,0.67924976,0.2455473,-0.53713363,-0.04504311,0.14752543
2019-04-04,0.48096496,0.2562268,0.22939955,0.6835989,0.24663845,-0.536457,-0.042204,0.15669227
2019-04-05,0.48420313,0.25742066,0.23172107,0.6870767,0.24748188,-0.5354587,-0.039308093,0.16664696
2019-04-06,0.48812848,0.25862435,0.23403566,0.6926742,0.24885319,-0.53501916,-0.036375273,0.17608123
2019-04-07,0.49360636,0.25993812,0.23634736,0.7033824,0.251528,-0.536019,-0.033425417,0.18368673
2019-04-08,0.5003038,0.2612976,0.23859465,0.7194714,0.25552276,-0.53828156,-0.029296659,0.18947724
2019-04-09,0.5073041,0.2626205,0.24074583,0.7386589,0.26020706,-0.5410089,-0.023186889,0.19448711
2019-04-10,0.5145965,0.2639802,0.24284978,0.76010716,0.26538596,-0.54415005,-0.015655607,0.19893895
2019-04-11,0.5221707,0.26545006,0.2449554,0.78297824,0.27086467,-0.5476539,-0.007262316,0.20305538
2019-04-12,0.5300162,0.26710343,0.24711157,0.8064344,0.27644828,-0.5514694,0.0014334789,0.20705901
2019-04-13,0.53812236,0.26901367,0.2493672,0.8296378,0.28194198,-0.5555455,0.009872276,0.21117246
2019-04-14,0.54647875,0.2712542,0.25177118,0.8517507,0.2871509,-0.5598312,0.017494572,0.21561833
2019-04-15,0.5550749,0.27389836,0.25437236,0.8719352,0.29188013,-0.5642753,0.023740863,0.22061925
2019-04-16,0.56426996,0.2819008,0.26544672,0.87575746,0.29099232,-0.5753985,0.015156725,0.22712138
2019-04-17,0.5765745,0.2942913,0.28134432,0.889872,0.29543802,-0.5836754,0.012417414,0.23747712
2019-04-18,0.5927996,0.30641538,0.29314986,0.94791806,0.31119272,-0.5769982,0.032044474,0.25871456
2019-04-19,0.61096287,0.3195299,0.3045801,1.0312071,0.32782245,-0.56460845,0.054226827,0.28809264
2019-04-20,0.63009053,0.33368796,0.31674296,1.1220425,0.3446501,-0.5544102,0.075100556,0.31328982
2019-04-21,0.6497964,0.35666063,0.33444417,1.212712,0.36136293,-0.5485232,0.09366555,0.32763043
2019-04-22,0.6700314,0.3772697,0.35159978,1.3068116,0.37810194,-0.54461,0.11256858,0.34372637
2019-04-23,0.6934764,0.38622472,0.36283547,1.4292186,0.39683014,-0.5482588,0.1333831,0.36816323
2019-04-24,0.7189112,0.39419094,0.37318408,1.5643096,0.4163608,-0.55650604,0.15539594,0.39450854
2019-04-25,0.74001634,0.4027309,0.38302988,1.6505984,0.43197286,-0.5577434,0.17678364,0.4198448
2019-04-26,0.75390744,0.41270545,0.3932681,1.6866072,0.44127756,-0.55001825,0.19669802,0.444293
2019-04-27,0.7627441,0.42335197,0.40390643,1.7139605,0.44615006,-0.5399941,0.21535796,0.46884352
2019-04-28,0.76777303,0.43379804,0.4139977,1.7358254,0.44826508,-0.52898633,0.2325404,0.4918831
2019-04-29,0.7702409,0.44317108,0.4225949,1.7553694,0.44929734,-0.5183103,0.24802233,0.51179844
2019-04-30,0.77139455,0.45059866,0.4287509,1.7757596,0.4509216,-0.5092814,0.26158077,0.52697617
2019-05-01,0.772286,0.45674935,0.43324578,1.797246,0.4532986,-0.50164396,0.27354074,0.53832537
2019-05-02,0.7731408,0.46287578,0.437512,1.8180518,0.45549664,-0.4942551,0.28441212,0.5479486
2019-05-03,0.77396584,0.4689815,0.44158104,1.8383036,0.45755178,-0.48709917,0.29424918,0.5560231
2019-05-04,0.77476805,0.4750701,0.44548428,1.8581284,0.45950004,-0.48016074,0.3031062,0.5627259
2019-05-05,0.77555436,0.48114505,0.4492532,1.8776531,0.4613775,-0.4734242,0.31103742,0.5682342
2019-05-06,0.7763317,0.48720998,0.45291921,1.8970046,0.46322024,-0.46687403,0.31809714,0.572725
2019-05-07,0.77710694,0.49326834,0.4565138,1.9163096,0.46506426,-0.46049473,0.32433963,0.57637554
2019-05-08,0.777887,0.49932376,0.46006837,1.9356952,0.46694562,-0.4542707,0.3298191,0.57936287
2019-05-09,0.7786788,0.50537974,0.4636144,1.9552879,0.46890038,-0.44818643,0.3345899,0.5818641
2019-05-10,0.7794892,0.51143986,0.46718332,1.975215,0.47096458,-0.4422264,0.33870623,0.5840564
2019-05-11,0.7803252,0.5175076,0.47080654,1.995603,0.4731743,-0.43637508,0.34222236,0.58611685
2019-05-12,0.7811936,0.5235866,0.47451556,2.016579,0.47556558,-0.4306169,0.34519258,0.5882226
